,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
557,Saint-Pierre,RE,294.77,clear sky,-21.3393,55.4781,Alize Plage
558,Cabedelo,BR,298.52,few clouds,-6.9811,-34.8339,Pousada Camboinha
559,Owando,CG,294.38,light rain,-0.4819,15.8999,Exaunel Hotel Owando
565,Meulaboh,ID,296.94,overcast clouds,4.1363,96.1285,Kost Pria
570,Padre Paraiso,BR,294.03,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
571,Mejicanos,SV,296.51,broken clouds,13.7403,-89.2131,Ximena´s Guest House
573,Pemangkat,ID,299.86,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
574,Jiwani,PK,298.93,clear sky,25.05,61.7417,Hooth Market
579,Calabar,NG,296.78,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
586,Maracai,BR,295.16,few clouds,-22.6106,-50.6672,Hotel Maracai Pousada
605,Wewak,PG,297.75,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
606,Kisanga,TZ,295.23,overcast clouds,-7.4362,37.7034,
610,Ogbomosho,NG,294.51,scattered clouds,8.133,4.25,Living Soul Garden Hotel
613,Kibala,TD,296.95,clear sky,9.1104,18.3463,Prasant Hotels
614,Cururupu,BR,298.86,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
619,Bonthe,SL,298.47,moderate rain,7.5264,-12.505,Bonthe Holiday Village
621,Boyolangu,ID,299.45,overcast clouds,-8.1181,111.8935,Yos ega cv
626,Maragogi,BR,297.73,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
627,Matamoros,MX,299.21,clear sky,25.5333,-103.25,Quinta Belem
630,Belmonte,BR,297.88,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
632,Payo,ID,298.31,overcast clouds,-3.7508,103.6372,Mess keban agung
638,Cikupa,ID,301.68,overcast clouds,-6.2364,106.5083,Amaris Hotel Citra Raya Tangerang
640,Gombong,ID,300.85,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
645,Entre Rios,BR,295.69,scattered clouds,-11.9419,-38.0844,Pousada Porteira
648,Shakawe,BW,294.91,moderate rain,-18.3667,21.85,EdenWood Lodge
661,Christchurch,NZ,295.05,few clouds,-43.5333,172.6333,The George
663,Moron,AR,294.01,clear sky,-34.6534,-58.6198,Hotel Morón
670,Leopoldina,BR,295.36,moderate rain,-21.5319,-42.6431,Palace Hotel
675,Torit,SS,294.92,overcast clouds,4.4133,32.5678,Diplomat Guest House
676,Taretan,MX,297.21,scattered clouds,19.3333,-101.9167,Hotel Posada Jardín
678,Yenagoa,NG,297.41,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
679,Dapaong,TG,297.31,clear sky,10.8639,0.205,Hotel Caroli
681,Morros,BR,297.07,few clouds,-9.4467,-46.3003,
685,Mount Isa,AU,301.02,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
689,Angoram,PG,298.03,moderate rain,-4.0625,144.0661,
695,Grand Gaube,MU,295.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
